comment,sentiment
是【后37集】，也就是【4-40集】的公式，不是【第37集】啊华罗庚们！#我们文科生的表述真的弱爆了#[泪] //@六小岩: 勾股定理，arcsin（3÷5）＝37°我觉得财神爷就是这么想的。。[嘻嘻],0
[泪]我是小清新 //@Yihwei_Towne:以撒大的性格放卫生纸应该差不多。,0
" 谁欺负双鱼座,俺就和他玩儿命!!![抓狂] //@重口味女秘书:双鱼座顶起 ...",0
刚才饿死，现在撑死，又没吃成火锅[泪],0
物以类聚，人以群分，今天我才知道，其实，我原本不该属于你！[衰],0
[泪]@宇过天新:【未能刊登出来的文字】7月22日，暴雨后，杜伟和哥哥找遍沿途的所有医院、派出所、灾民安置点，没有郑冬洁的消息。他们的报警求助被房山推给丰台，又由丰台推回房山；7月23日，哥俩儿守在京港澳高速救援现场，被告知不准拍照，不准录像，不准到高处，唯独没人告知“郑冬洁”在哪儿。,0
视觉角度的欺骗[晕] ,0
男朋友的责任[怒] 中枪的转。。。。。。众男人，看了以后还想找女朋友吗[偷笑] ,0
回复@李莹肖:最近各种晕~连好声音都忘记看了[悲伤] 睡~ //@李莹肖:师太和多亮相继离开。我也准备洗洗睡了。再也不稀罕庾大叔了[鄙视][鄙视][鄙视] //@张帆Claire:回复@李莹肖:哟！终于谈妥了[偷笑]  //@李莹肖: @张帆Claire,0
是金子在哪儿都吃光！//@深海2W:跪了！[泪] //@易水铖:md，真是神啊！！//@李开复: 给跪了！[威武],0
[黑线] //@周?喵: [衰][晕][生病],0
[怒] //@左小祖咒:[话筒] //@ziyewong://@靠江魏三: //@明可mk://@作家-天佑: 天杀的,0
感觉好高级[挖鼻屎]//@P2PBUCKS:回复@panpansusan: 将信息写道比特币数据块上 http://t.cn/8kcv8Eq//@panpansusan:这个题材真好，真希望我死的时候有人能帮我记录。[泪],0
好像被消失了。。[疑问][疑问] //@造型师张亭亭:对呀，好奇怪， @作业本  本本去哪里了？[思考][疑问] //@高珑珂: 被河蟹了吗…[晕][晕][晕][晕][晕],0
回复@行者橙子:万一点儿不正仲麽办？[悲伤]让P君再单独给莪买一张吧。。[害羞]然后你给写……[偷笑] //@行者橙子:还有很多机会呢，别着急,0
加建……[抓狂][抓狂][抓狂][抓狂],0
[蜡烛]//@王?波: 返京刚下飞机惊闻噩耗，痛心至极??[泪][泪][泪]！天妒英才??[蜡烛][蜡烛][蜡烛]!,0
//@小鱼MM00:[伤心][泪]@TZ斑大人 @果粒橙_cyx @菲比Febe//@周茫茫:[?] 谁能告诉你什么叫不离不弃，生死相依[?],0
小丸子好像是我的同学啊！故乡一样，年龄也差不多[嘻嘻] //@桃子同学收心读书迎接大二了:静冈叔叔一定更喜欢小丸子[泪][泪][泪] //@静冈叔叔:回复@BrownLeo:来上海后很喜欢海贼王了[笑哈哈] //@BrownLeo:哈哈！静冈叔叔很喜欢海贼吗,0
回复@4诓而儿:按照活动规则，转发的多了，既有机会获得。 //@4诓而儿:为什么就是不赠我哦[泪] //@朱德?:谢谢 //@我的战友遍天下:爱情不是枷锁，相信爱情，相信《给爱情下个套》一定会大卖！,0
从来都要求带着镣铐跳舞。。。[晕]//@王福重: 我对敌我分明的理解是，八路军打入国军内部，也要穿八路军的衣服。,0
[泪]老师一路走好[心],0
开始一点一点整理办公室，才发现还有很多鸡毛蒜皮小事要处理掉。[晕]再把我劈成几瓣吧,0
你还挺能转换的。 //@百四之王:党发明了一头雾水，雾水遇到脏空气就化作雾霾，大家明白了吗？[偷笑][衰] //@潘石屹:我以为我自己识字不多呢，你们也听不懂。  //@任志强:来点实在的！,0
良心泯灭啊！！！[怒][怒] [怒],0
//@十月水晶鱼: 傻逼[怒]//@银河系中国://@追梦的迷网人:蛮横霸道。[怒]//@摆古论今://@逢庙烧香: 很惨！很震惊！ //@壹日壹说:卧槽[怒] //@杜楠爆料:转发微博,0
我又不争气的哭了…[泪]//@andy苗:真煽情 很高兴这个故事里有你们 @美味人生羊羊羊   @美味人生校?   @美味人生jackiepiao   @向尚看齐楠小姐   @向尚看齐小越越   @向尚看齐畅哥   @胡大姐seven,0
哈子，你????噻。[哼] //@CHEN颖儿:我去，老子真的要决人了[怒][怒][怒]@桑那那花开  //@陈峥嵘岁月: 太不是人了！@CHEN颖儿@叶桦-出走   ,0
//@宋涛灰太狼:天堂里有没有车来车往。[泪][伤心][蜡烛][蜡烛][蜡烛] // @戴粼清澈蓝境 :好女孩！你一定会去一个更美好的世界！,0
Mew和Tong竟然没有在一起，怎么能怎么能[抓狂],0
"[衰]oh, no!!! //@这里只有阳光灿烂:在美国听了十几年的古典音乐台也不见了。经典不再！不知芭蕾能撑多久？  //@作曲家陈钢:向古典音乐致哀！   //@姚伊为上海交响乐团:现在的上海，艺术等于被媒体炒作的毕加索，菜场般的双年展。",0
到底要把自己的内心修炼的多么强大，多么无坚不摧呀！勇气，勇气，刚找回来的一点勇气又瞬间消失了。[抓狂] //@艾凡：接受它，并努力改变自己，转了！,0
又到了每月一次的开奖日，两年多了，每月26号我都期盼着不再见到“审核通过”这四个字，结果今天又见到了。[泪],0
[泪]感动//@侯镇宇: [泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪],0
难道   胶片时代真的要过去了吗？[汗][晕]//@王琛视界:天无绝人之路！ //@jolomo:[?][?][?][?][?][?][?][?][?][?][?][?],0
七夕的夜，有绿叶无鲜花[衰]...[泪],0
杆头打飞了。[泪],0
苛捐杂税猛于虎[衰],0
靠谱吗？？？！！为什么我看不见的是5？？？？[泪],0
看韩剧看得无法自拔[伤心],0
那天我去喂他们水喝的时候，发现不见了。清扫阿姨说他们不知道哪天，被警察带走了[泪] [心]希望他们平安,0
[衰]俄航好烦,0
收衣服的时候才发现昨天晚上忘记关纱窗了???难怪那么多蚊子！[泪],0
弹性真好！//@刘思宇_：原来爸爸妈妈是为了我好。。。[泪]求打屁股。。。。,0
哈哈哈~~~SUPER B 是什么样的B啊~~~ //@忧愁年代谁990:这也行？ //@84剩女:[泪] 内牛满面啊！！！,0
我手机突然间毫无信号，都不是上不去网的问题，连电话都打不出去！以为自己的手机中毒了呢，一来公司发现只要的是联通的号都没有信号！破联通你怎么了？！不过也意识到这年头没有手机是一件多么恐慌的事情~~~[抓狂],0
终于到赤峰了。这车座的真特么的累[晕][晕],0
应该考虑考虑！//@波斯无影爪:[吃惊]以后车是否都应该做成水陆两栖的//@后海5号_妞妞: 确实变海了[挖鼻屎]//@我是情商:回复@郝楠童?:恐怖！[衰] //@郝楠童?:是吧！ //@郝楠童?:矮油我去！,0
一大早神清气爽爬起来规划工作，就看到这个苦逼帖。看看表，呕血三升，默默爬回被窝。回个笼吧[泪] //@张小晕Olivia: 落到时尚杂志里，性价比当推选 专题编辑！少壮不努力，老大做专题！//@和气生财耶: 定位总结真是到位！,0
想念你/却无法/相见[悲伤],0
开始倒时差，可是这个点我真心不困啊！[抓狂][抓狂][抓狂],0
[晕][吃惊][汗][汗][汗] //@非常百搭:哈哈哈哈哈！看小孩紧张地小眼神！,0
//@937江苏新闻广播:[晕],0
下次你就说：我想看看天安门，顺便吹吹风～ //@精精进入究极减肥阶段:金融街店！我每次都坐一进门靠玻璃这边从里往外数第二张桌子[馋嘴] 露台夏天一次没坐成[泪]冬天又没种跟老板说“给老娘放露台！”,0
好像红糖不能豆浆一起吧     一把是多少啊[衰][委屈]//@麦麦吉V:我就没什么小月牙，学习。。,0
请问南京站的福利在哪里！！！！！@黄立炜leeway 快点帮我和他们说[泪]//@好妹妹乐队-浪客秦昊: 已经开售咯！郑州的同学们抓紧！[偷笑],0
结束了连续20天的工作，为什么今天还是要这么早起[抓狂]嗓子啊你可真识相，知道今天不用说话了，就肿起来了[衰]好吧…还是开心的，知足长乐[呵呵],0
【#我爱满堂彩#――开心一刻】金角大王将宝葫芦倒置，喊了一声：孙行者。悟空应了一声，嗖地便被吸了进去。金角大王查看时，里面除了孙悟空，还有行者武松、苍径空、孙权、六耳猕猴、金刚等一干人。金角大王惊讶道：只喊孙行者，怎的来了这许多。这时宝葫芦开口言道：这都是你“可能感兴趣的人”[衰],0
?菜?盾 //@蘑小菇even:就是……什么萝卜啊，谁200一份……小数点儿呐亲！！！//@MaaHoo: 哥，下次我带一麻袋钱去，只为吃一份跳水萝卜皮[泪],0
//@钟鼎文微博: //@荒岛恶郎十三代: //@官发科05: //@博源问津://@孤家寡哥谁977://@千寻欣言: @为儿伸冤坐牢三年 @邝老五 @孤家寡哥谁977 @龙灿 //@四月的蓝天:[泪],0
感觉俩礼拜不见了[泪]好开心 我在#香草香草云南原生态火锅(大理店)# http://t.cn/zj5c8lu,0
宰客成为合理，当然是“零”投诉 //@孙陶然:[抓狂] //@蒋?亮:不去了！ //@经纬张颖:我靠！什么世道.....去三亚度假，请自带干粮。,0
累的极致就是睡不着[泪][泪],0
遗憾，老师一路走好。 //@洋芋饭Rainie:老师一路走好[蜡烛][蜡烛][蜡烛] //@唐嫣: 柏寒老师一路走好[蜡烛][蜡烛][蜡烛]！太突然了[泪][泪][泪]!南无阿弥陀佛???,0
[晕][晕]//@Lily头000,0
稍微辣的味道吧。晚上会有活力[馋嘴] 现在用五毛钱不知道能吃什么[泪] 爱你的咖啡豆谁3,0
//@魏雨萱://@王灵雅yummy: [泪][泪]//@李亚容容:[泪],0
女生，应该把条码印在背后。//@媛媛刘00: 应该露个脸呐，那么俊秀的脸。[偷笑] btw.这衣服穿在女生身上有点尴尬呐。[衰],0
回复@竹笙_:是酒店自己做滴，我想买几瓶不出售，退房时收到送我的，顿时[泪][泪] //@竹笙_:这果酱好真材实料阿。还没试过涂满满的果酱的吐司是什么感觉[馋嘴],0
中:册那妈只逼，日:八哥丫路。中:只 港乱，日:八哥丫路。中:勿要面孔只瘪三， 日:八哥丫路。中:只宗生骂宁啊勿会骂，日: 八哥丫路。中:滚滚滚，死远点，勿跟弄逼 样吵了。。。。。。日:[汗] //@张金朗Lion:只好哪能啦[抓狂],0
终于被曝光了。//@星硕-袁学娅: 饭店协会该行动了！@荫子20谁谁 @李虹HZ @杜家村夫 @布丁酒店史央清 //@微刊:[衰] 大家出差神马的还是自备毛巾吧,0
今天杭州的太阳好毒哦，快被晒死了！！[抓狂]突然好想去海边，我今天这身打扮是不是很有海滩风呀？哈哈哈,0
香橙双皮奶，这份摆盘没摆完~[晕],0
[泪][泪][泪]击中我了 //@小瘦子心心:漂亮！！！,0
关键看奖咋样，真要弄个500-谁000的奖金啥的，一天你就都学会了 //@Ricky老花:我除了实况啥都不会，啥时候整个实况派对呢。[泪],0
求表说[泪],0
[抓狂]//@天津团购打折-团800:双谁2那些值得买的小而美,0
这要是吃了，人是不是通体会发蓝光？ //@饮兰山房:变异了  //@天道无趣: //@飞sPace :卫斯理蓝血猪。 //@saludbeijing  : 是辐射猪还是外星猪[怒],0
//@陈延峰hx:[怒] //@廉政公署V://@合金-黑猫2: //@玄玉轩蝎子://@营口8谁岁老人被劳教: //@李宝健: //@全球飞报: //@中国瓦良格号钓鱼岛:古兰经伊斯兰法是否有规定？伊斯兰教徒犯强奸罪是否处于极刑？赵德山是汉族还是维族、哈萨克族、塔吉克族、吉尔吉斯族？,0
打车真的是错误决定！坐公交早就到了[大哭][发怒][抓狂]以后绝对坚持绿色出行… 我在:http://t.cn/8kyk5ju,0
小时候五分钱的麻酱雪糕特好吃！再也买不到了[失望] //@治愈系心理学:那时候可以为一根5分钱的冰棍高兴半天，现在可以吗？,0
白折腾一圈图什么啊？ //@微天下:女变男 男变女 [晕] 祝福相爱[心],0
【不现实】@段郎说事 大面积叫停收费公路并不现实，正省部级以下一律取消公车并不现实，从根子上打击腐败并不现实，全面放开言论并不现实，大规模减税并不现实，要求官员公开财产并不现实，大面积食品无害化并不现实???总之，有一个世界，叫不现实；而另一个世界，很现实[怒]@将饮茶@Hi萍水相逢@行动者,0
[哈哈]//@巧克力的狂欢: [衰],0
那您就下来看//@MG胖胖:我在楼上，看不清楚[泪]  // @嘻哈包袱铺王惟 :回复 @桃?馨_小猫 :呦。。。脸红了 // @桃?馨_小猫 :可喜欢王惟王老师了~~最爱看你内坏笑了 // @嘻哈包袱铺王惟 :谢谢支持,0
胳膊伸不直了[泪],0
坑爹啊，?睡眠？[泪],0
这个曲目也太华丽了吧//@小元三之助: 真是手贱看歌单!!![抓狂][抓狂][抓狂]//@LuttiRainbow:new soul!!!!!!!!!要?死?[抓狂]?死人啦,0
[衰][衰][衰]//@李开复:[衰],0
快要立秋了吗？[疑问]焦虑中[怒],0
原来如此。。。[晕] //@薛辉_Carlos:今天是愚人节吗？,0
[困]一到下午就犯困怎么整。。小摇又给大家带段子来了！[偷笑]有个上海女生叫Emma，被派到东北去工作。上班第三天就精神崩溃。。。她说她觉得到处都有人在叫她。。。。。。。[衰],0
[怒][怒]南昌的亲注意啦！！[话筒]@江西同城会 @南昌微吧 @Chris刘天成 @叮不当了 @晏明智 @东方兔的小屋 @幸运乐乐到永远 @Alan华 @PC_丁叮best,0
最近头疼的原因是屡攻不破，陪上我的午饭晚饭。[抓狂],0
回复@云兮巴陵:这都神马事啊[怒] //@云兮巴陵:已找到。黄发女人是博主老婆 //@裴虹猪鼓励:上海的朋友注意  //@directorCCTV:帮转[心],0
真情永恒！[泪] //@全球热门收集:太感人了！！！[泪],0
今天凌晨的事情到现在想想还是很郁闷[抓狂]现在唯一能做的就是在周末的夜晚，不想做任何解释，把这个人无聊的人所做的无聊事当做一个屁放了，为这样的人不值得！[神马][浮云]最后送他一张“鸽吻”的图片，希望他今晚无聊的时候能看见！,0
今天全程??西安事??直播的@神乐是萝莉 拍了很多??可供警方存?的照片 ，但他的微博?在竟然打不?了，大家可以直接搜? "神乐是萝莉"，有很多爆?[怒] http://t.cn/zlhtJNC,0
昨晚风雨大作，天气预报也跟着变了，北京哎呀变三亚啦[抓狂][抓狂][沙尘暴]    #美图秀秀iPhone版#,0
"周末就是运动日，和哦家劳工去健身房跑步。我的体育长项就是长跑[酷]，我的同学们都知道滴~但是近些年耐力渐减。我在跑步机上摒着坚持就是胜利的原则，一教练走过来问：ok?ok?虽是满面春风，但看的出一些担心。我气喘吁吁，嘴巴呼吸都不够用，还要挤出一个big smile，回答：ja, ja, is goed![抓狂]",0
重水渗透...[吃惊]我特么洗个头再洗出个核弹脑袋来[抓狂]再仔细一看，咳！8重水润渗透力[汗]@??兔拉拉 ,0
[哈哈][哈哈][哈哈]神评！[赞] //@石一枫:两个极其谦虚的老同志，比着自降辈分――“你是我爸爸。”“不不，我是你孙子。” //@嗨辣老孙: [晕][抓狂][吃惊]真的吗？元芳，你死哪去了？,0
"我热4-谁干掉凯子！[怒] //@ALAN7汪涛:?干掉LBJ! //@朱开开:[哈哈]贴切~//@小包子他爸: yeah, bitches//@LOVE_凯尔特人: 魔术师一定不是故意的！//@鲍贰: 终于拿下了，说个好玩的，M.Jackson比赛开始前做节目本来要说：Miami benches.....不过他却说成了Miami bitchs....[偷笑]",0
#敢吃逗你玩#路灯君你怎么了？“太热了，我躺会！”今儿这天气真心伤不起啊[衰]~「转」,0
[浮云][浮云][雪][?]一口呼吸的空气，连浮云都不如，懂的懂的！！哈哈哈！[抓狂][圣诞袜][织]@joan0725,0
话说，若不是穷疯了， 谁他妈为了省几块钱拿自己骨肉健康冒险去试国货？宁肯死在洋鬼子手里，也不让国货品牌手上沾上自己同胞的鲜血！//@素直心: 前几天还为早生几年孩子庆幸呢！晕！原来几年前还不如现在！[抓狂],0
我早就知道一准儿有人会抓狂的[汗]终于疯掉一个了[抓狂]（虽然南北不分，但高丽棒子和北韩愣子在美国孩子眼里都是一样的。）@vanZhaovanZhao,0
"//@张小鹅: 恩，好像是沙发纹路！ //@榴莲_Alex:[衰] //@王远霖--MCS:考，这不是本能中的镜头吗。 //@贝易sweet: //@毋需在意: 亮点在哪儿？ //@西班牙的野望: @田林一枝花 这帖不是你转,很不习惯 //@SimonXue: [吃惊] //@KDS-最爱威士忌: 我靠！亮点大了",0
晚餐签到帖[花心]今晚吃咖喱，我大爱的咖喱蟹，我想念你的笑，想念你销魂的味道[抓狂][鼓掌][太开心]各位，你喜欢咖喱不？@王一,0
"//@北娃大王: ""让那些不懂得珍惜我们,那些不懂得珍惜我们的人,慢慢地老去吧,慢慢地远去吧,不必说话,沉默太复杂.我们要怎样才爱得明白,奋不顾身的去接受伤害,也许会有一天,心沉静的像海,不轻易澎湃,直到对的人来.""[泪]",0
#北京美食地图#在@侨福芳草地 顺道品尝到了?港茶餐厅的甜品。菠萝包，蛋挞还有榴莲酥都很不错。主要都不是特别甜的那种，口感还特别不错。价格也不是特别贵，真希望公司门口也有类似的餐厅[泪]小伙伴们有机会去尝尝吧！地址:侨福芳草地B2层。（@小猪男孩 投稿）,0
回复@由你定心情:想什么美事儿呐？您这么干欠债方房子就得先走拍卖程序，公拍！[右哼哼]再好好琢磨琢磨还有什么招儿吧[抓狂] //@由你定心情:为了避税，离婚什么的弱爆了。看我这个，不但避税而且无视限购。买方先把房款给卖方，卖方按房款打欠条给买方，以房产做抵押。然后买方以卖方欠款不换起诉到法,0
上海天怎么这么好啊，顶着，姐明儿就回，拖着箱子直奔 @小汪淼淼 那开会，押着  @朋朋的绘手纸 [偷笑]，如有迟到小会，大伙见谅，使劲赶了，刚吃完饭，正看着我的小肚子发呆，哪有抽脂减肚子的[泪],0
@胖子裴 [泪]总有一天他会长大,0
[抓狂][抓狂]@孙涛TT 老兄昨天咱们还聊呢没有想到如此之严重,0
感冒感的头发昏。。。刚刚醒鼻子结果头昏脑胀差点昏倒在地上。。。[晕],0
好想看这部啊。。。。//@玛丽莲-梦兔森色: 所以国产片保护月可以先去死吗？//@戴戴的天空: 我！！！我！！！我！！！@康总不着急 [泪]你说你回国干啥啊！！！干啥啊！！！你不回的话就看上了！！！,0
最右[汗] //@琢磨先生:看到这则新闻感动的泪都留下来了[泪] //@Vista看天下: → →//@无心梦蝶AIC如雪: 最右！ //@八佾舞羽: 思密达终于承认地球上有不属于他们的东西了,0
这才是真相阿！@经纬张颖  //@来福小院流浪动物救助:[泪]怎么能这样！,0
我听到最后有女粉丝的叫声啦！兼顾偶像与实力让人家怎么活！[抓狂][抓狂]@百威为音乐而创 @真琴你我,0
//@联合国:［会员国］美国拖欠教科文组织会费超过两年。。[失望],0
最大的问题是竟然用的是冷冻蟹钳，吃起来一大股冷冻海鲜的味道，蟹肉外面已经干裂，完全没肉汁，而且总共只有谁2支！谁2支真多啊，不过最长的也只有5厘米啊！除了蟹钳其他什么都没有啦！这尼玛完全坑爹啊！有木有！这可是你家的招牌啊！[怒][怒][怒],0
[泪]妃儿肯定不会被选中//@李小受儿: //@boyuuu: //@红料: 太。。。豪华了。。。[可怜] //@大颊沙鼠:哇！//@天狗行空: [哈哈],0
不是清凉，是悲凉[泪] //@小忻大爱:这下真的清凉了～,0
真是不好意思，我馋牛排了[怒],0
@深巷明朝卖地瓜 什么情况啊？[衰] //@中兴通讯官方微博:有兴趣的筒子可以关注下。[呵呵],0
#肿嬷嬷# 各项指标正常但是每天清晨的肿胀越来越厉害了。现在无论睡左边还是右边都肿左手，而且起床后手指不能弯曲的时间变长了。我可是靠码字挣奶粉钱的啊[泪] 今天更是从头肿到脚，爬起来控控。。。好在给我留了一只发微博的右手。。。@园肖妈妈,0
回复 @LOCAAMANDA:已经打过投诉电话了，竟然说如果空车见乘客招手，车子没停，就不算是拒载！[怒] //@LOCAAMANDA: 投诉投诉，妈的！你干嘛去呀,0
我真的不要再做路痴，在迷路就不出门，服了，彻底被自己打败[怒][怒][怒],0
上镜的服装严重失策…[泪],0
//@泉州女一号: [晕]还我本科！拒绝7万元。。。,0
这位亲，你确定没有少打一个“壳”字嘛？[泪]//@乐乐乐_美丝: @曹梓轩 能给我买个手机吗？哈哈,0
#读老舍#终于快到周末了[泪]多么美好的两个字啊！不知道有没有在为年会节目等苦恼的观众？分享一篇《科学救命》，安慰一下。[嘻嘻],0
我尼玛有钱就把国安买下来[怒],0
@吃肉的兔子- [抓狂] //@Holy-Sexy-Girl:[花心],0
?束台??光局美食??活?，一?美食也?吃到，大??，都很好吃[泪]算了?炎同?跟小威?我杭州回?胖很多，我???肥！,0
我去，这风啊，车停着却晃悠的厉害[泪][泪][泪]真恐怖，能不出门就别出门了,0
北京地铁确实很方便，我刚刚推荐给几个明天要去长城玩的年轻女孩儿。//@孔霸天: 糗百啊啊啊啊啊啊啊～我的最爱，每天的厕所读物，快得便秘了。。。[泪]。。。感谢推荐@TouchChina,0
 @刘?-妞儿 ，上地址 //@菁制美食:没错！介绍了美食却死活不肯说地址！急死你！[抓狂],0
[泪]//@设计目录:「有?有那麽一???，停止在最??和最美好的那一年、那一天」。晚安！,0
你要不要那么快，还怕得那么好[泪]//@泡鱼儿: @新浪博客 @头条博客 @新浪旅游 @图片博客 @马来西亚旅游局 @玩疯马来西亚 @魅力雪兰莪 @亚航之家 @新浪湖北旅游@新浪龙江旅游@安徽爱游 @云南旅游@重庆旅游 @新鲜旅 @襄阳汉江网 @襄阳新闻广播@一柄锈剑 @网际飞侠 @自由主妇 @琰棱 @小柳菁儿,0
苹果一直都是我的至爱啊 其它的可有可无 [衰]//@金一宁: 我从小是吃伤了苹果，我姥姥家是果农[奥特曼],0
回复@hiroto93:没有啊！而且举办音乐会的时候有可能需要做工作[泪] //@hiroto93:话说回来叔叔的演出会有视频吗？？[可爱],0
还有就是原来想买一张都匀去打羊的车票留念， 谁知道这车竟然不上网销售，在窗口买也是出的这种褪色很快的票，怨念啊[悲伤],0
萌！//@萝卜卜卜卜: [泪]有爱啊 //@夏薇琪小mm: @曹内内 ~ [爱你]//@Lilywhite_求十月人品爆发:心都化了。。。。 //@吾引以为傲的自制力: 太萌【捂心口//@Kenn_TF谁4谁: 萌翻了！！！,0
醉在那里了 又好想去[泪][泪][泪],0
呃~@！~身为大红色美少女战士队成员的含泪飘过~[泪],0
淀山湖重灾区[衰],0
回复@manic要淡定:欢迎欢迎啊！感谢来支持金小帅[太开心]#签到有礼#积分0.5 //@manic要淡定:啊啊啊  晚了好几天[泪]  从今天开始早晚安吧！[许愿],0
我对不起毛爷爷！我挂了！[泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪],0
撞“婚”。。。你遇到过么？！[衰],0
抵制到底！[怒][怒][怒] //@gh飞翔的蒲公英: //@峰子-XXF:我坚决不去看。//@梁捷lj:扩散 //@MY-甜:?????? //@奢华密码_陈小懒:不看[怒] //@奢华密码_马娄姐姐:封杀小日本[怒][怒][怒][怒],0
我想#猫小D#了[泪][泪][泪][泪]！下次不能留给你了@kandiduan谁2谁8,0
善良的孩子[爱你][爱你][爱你] //@刘忻:沈阳的孩子帮忙留意一下，谢谢啦[爱你][爱你][爱你] //@洪辰:电话更正：024-25908420 陈小姐的东西[泪],0
塔尔寺回来，已经累成马了，三个手机全部没电……[衰]#西宁市区# http://t.cn/zOn5PoU,0
太美了[抓狂] //@小c家的苹果:我证明，原版是你[偷笑]  //@Jim兄: 盗我图付钱了没？,0
【雀巢雪糕常温下24小时未融化】一则新闻让很多人对雪糕不放心了，一根雪糕在常温下放置24小时后化成了一堆胶状物，引食品安全质疑。坑爹，冰箱生产制造商开始冒汗了。[怒][晕],0
//@赵径文:苦涩 //@尹丽川:转唯我朝人民能看懂的段子 //@傅北宸://@pinmm:[晕]  //@朱学东://@石扉客:精屁！//@陈晓卿://@美式脱口秀:转发微博。,0
含泪转发 //@wb王传鹏: @青年土豆的烦恼  //@shijin谁:[衰] //@快滚到锅里来: //@Fenng:看了这个我都想去了。?饬了一年，用户也不知道你们说的 Pages 到底是个啥。现在又出来一个「卡片」，我草。,0
瞎琢磨//@毛楠:能能说：我牙疼...[抓狂] 。李林说：我帮您吹吹~[太开心] 哈哈哈~[哈哈] [哈哈] [哈哈] //@能能相声演员:我们俩这是怎么了,0
//@红酒--没那么简单--:妞写的。。但是是FH坤说的，妞照做。。。尼坤你可乐死我了。。灭哈哈哈。。美好啊美好 //@小七7柒:FOREVER...维尼夫妇....闺女写的....[泪]  //@笨笨的小恋恋:顺便说点什么吧...[抓狂] 同博主,0
想给自己取个洋名，苦于迟迟无果。[泪]万能的微博啊，求！,0
好多虫子啊。[晕]。@快乐的Dowson [偷笑]你也试试？,0
突然很想哭。。。[泪],0
唉...  //@装得很懒的庄岚: [抓狂]20谁3谁4！国务院假日办，你一点不懂爱！,0
没时间买皮带 //@维嘉的扯淡生活:[哈哈]//@水南居士: 实在没想到，盛大官人竟然如此念旧，皮带也不舍得换呀[衰][挖鼻屎],0
太可怕了[衰] //@山岚熊外婆:[衰] //@黄毛晓鹏:@班豆班 @Serena小狼崽 @开心小栗子 @滴水琉璃---林琳 @Stella岚r @山岚熊外婆,0
天青色等烟雨 而肉在等你 炊烟袅袅升起?????????????????锅汤都完哩[抓狂],0
能遇到什么大好事呢，好期待啊[太开心]//@写-写: 能不长高么，能瘦么。。。[失望],0
王浩太悲催了[失望][失望][失望],0
//@搞机圈V助理:还有谁5小时，又来一次抽奖了。[悲伤][悲伤][悲伤]有意思的朋友继续转发。虽然礼物不大，但是所有的礼物我都是包邮的，说多了都是眼泪,0
